State,Year,Quater,metric_amount,metric_count,metric_type
manipur,2022,4,164810102.766275,48379,ukhrul district
manipur,2022,4,160602196.99791262,51040,tamenglong district
manipur,2022,4,35804745.19811843,12943,kamjong district
manipur,2022,4,133101652.30134834,45646,chandel district
manipur,2022,4,398215642.6664851,134155,bishnupur district
manipur,2022,4,180730794.8423508,63745,senapati district
manipur,2022,4,12008369.41204643,3998,pherzawl district
manipur,2022,4,418292018.1391273,139622,churachandpur district
manipur,2022,4,175755833.191996,49553,tengnoupal district
manipur,2022,4,11004726597.698875,4737839,imphal west district
manipur,2022,1,361422857.4778744,120614,kangpokpi district
manipur,2022,1,81975537.65019315,21683,noney district
manipur,2022,1,926298622.7916505,298053,imphal east district
manipur,2022,1,465999965.9324683,159443,thoubal district
manipur,2022,1,129009720.36301753,45714,kakching district
manipur,2022,1,106952141.35335837,33214,jiribam district
manipur,2022,1,163211543.8876433,45977,ukhrul district
manipur,2022,1,182059187.8775179,53325,tamenglong district
manipur,2022,1,38396927.57850355,10050,kamjong district
manipur,2022,1,156821048.33140564,46964,chandel district
manipur,2022,1,410979761.59592944,129775,bishnupur district
manipur,2022,1,150533112.28282666,41815,senapati district
manipur,2022,1,6196514.84182024,3014,pherzawl district
manipur,2022,1,478282953.14129984,132079,churachandpur district
manipur,2022,1,154983910.95505172,42399,tengnoupal district
manipur,2022,1,10331377272.313238,4129560,imphal west district
manipur,2019,2,47129360.10420917,16230,kangpokpi district
manipur,2019,2,10075253.477492668,3382,noney district
manipur,2019,2,163251483.39407197,60830,imphal east district
manipur,2019,2,50609235.60475471,20528,thoubal district
manipur,2019,2,16106582.072259707,6912,kakching district
manipur,2019,2,17270321.134957515,6285,jiribam district
manipur,2019,2,21521804.282437492,7984,ukhrul district
manipur,2019,2,15814788.021049991,5763,tamenglong district
manipur,2019,2,3032919.691310563,974,kamjong district
manipur,2019,2,18618364.598585922,5816,chandel district
manipur,2019,2,41645991.98921693,17577,bishnupur district
manipur,2019,2,9803824.584911618,4057,senapati district
manipur,2019,2,354755.2995869209,226,pherzawl district
manipur,2019,2,52974898.07418257,15958,churachandpur district
manipur,2019,2,22523708.105631053,6226,tengnoupal district
manipur,2019,2,232056651.71484104,78677,imphal west district
manipur,2019,3,61269618.190953486,23953,kangpokpi district
manipur,2019,3,10163311.001115777,4592,noney district
manipur,2019,3,206224069.84990168,79728,imphal east district
manipur,2019,3,56874722.875841096,25149,thoubal district
manipur,2019,3,21658629.891090117,10786,kakching district
manipur,2019,3,15754766.096758239,6684,jiribam district
manipur,2019,3,25516446.138604183,11017,ukhrul district
manipur,2019,3,22282886.130792048,9939,tamenglong district
manipur,2019,3,3909906.0631627766,1537,kamjong district
manipur,2019,3,20201420.061846673,9230,chandel district
manipur,2019,3,49667965.86779255,23755,bishnupur district
manipur,2019,3,12992196.559651546,5730,senapati district
manipur,2019,3,763600.6287200841,370,pherzawl district
manipur,2019,3,67550608.43753463,23946,churachandpur district
manipur,2019,3,21841055.2655591,7570,tengnoupal district
manipur,2019,3,266880799.50360966,101022,imphal west district
manipur,2019,4,74931231.19366804,28686,kangpokpi district
manipur,2019,4,14165358.767545234,6326,noney district
manipur,2019,4,249197379.8585516,96589,imphal east district
manipur,2019,4,73727196.96627039,32971,thoubal district
manipur,2019,4,31541265.82204684,12984,kakching district
manipur,2019,4,19814795.854595695,7943,jiribam district
manipur,2019,4,33065935.196690496,12148,ukhrul district
manipur,2019,4,27326669.899029642,11954,tamenglong district
manipur,2019,4,5668618.53808438,1618,kamjong district
manipur,2019,4,30393939.871451408,11650,chandel district
manipur,2019,4,72704593.78015086,31835,bishnupur district
manipur,2019,4,15860386.82079871,7994,senapati district
manipur,2019,4,1737007.4828713536,537,pherzawl district
manipur,2019,4,76031748.45585427,26420,churachandpur district
manipur,2019,4,28805257.528178874,9616,tengnoupal district
manipur,2019,4,445926296.0528502,150073,imphal west district
manipur,2019,1,42225052.52830845,15937,kangpokpi district
manipur,2019,1,7995454.9708068315,3526,noney district
manipur,2019,1,147611078.93080652,65076,imphal east district
manipur,2019,1,47210976.00123881,24257,thoubal district
manipur,2019,1,13774811.29579331,6683,kakching district
manipur,2019,1,16988787.69086654,5957,jiribam district
manipur,2019,1,16838560.88842248,6222,ukhrul district
manipur,2019,1,13975000.543136504,6373,tamenglong district
manipur,2019,1,2575925.7869967697,994,kamjong district
manipur,2019,1,14267105.401719613,4711,chandel district
manipur,2019,1,48193281.39036342,19486,bishnupur district
manipur,2019,1,7787710.744660139,3382,senapati district
manipur,2019,1,363380.8157813267,189,pherzawl district
manipur,2019,1,53360483.20022403,16940,churachandpur district
manipur,2019,1,21054191.304917272,6064,tengnoupal district
manipur,2019,1,205676258.93003774,79612,imphal west district
sikkim,2020,2,152837659.21956825,95669,south district
sikkim,2020,2,121265798.69496223,69860,west district
sikkim,2020,2,653853477.4965272,304581,east district
sikkim,2020,2,126661852.85020877,47621,north district
sikkim,2020,3,202497013.7266165,104888,south district
sikkim,2020,3,165556236.37028116,79994,west district
sikkim,2020,3,869648385.4220288,353881,east district
