State,Year,Quater,Entity_Name,Metric_Amount,Metric_Count
sikkim,2022,4,737103,235914155.20680153,87881
sikkim,2022,1,737101,1429425945.961132,572571
sikkim,2022,1,737102,368906458.41561985,150873
sikkim,2022,1,737132,277500079.0930386,144605
sikkim,2022,1,737134,331402064.1726658,137930
sikkim,2022,1,737135,253796966.43059132,106025
sikkim,2022,1,737126,208000061.704278,81954
sikkim,2022,1,737113,240985978.0209565,80419
sikkim,2022,1,737136,124929431.68879786,75513
sikkim,2022,1,737120,239867347.3280994,70343
sikkim,2022,1,737121,138726250.37673736,56322
sikkim,2019,2,737101,320406038.0351463,210317
sikkim,2019,2,737102,64795365.565028735,24154
sikkim,2019,2,737132,36887058.43025703,18971
sikkim,2019,2,737134,35346089.91961202,17748
sikkim,2019,2,737135,36945172.900931306,16399
sikkim,2019,2,737113,37325640.05972132,14288
sikkim,2019,2,737136,21067430.212100577,12919
sikkim,2019,2,737120,36545078.1041833,11562
sikkim,2019,2,737126,23480406.616069004,9748
sikkim,2019,2,737103,32108557.49722778,9511
sikkim,2019,3,737101,394711071.83428097,310087
sikkim,2019,3,737102,76983431.7127036,32914
sikkim,2019,3,737132,46674446.39052241,26828
sikkim,2019,3,737134,43190098.96401493,23625
sikkim,2019,3,737135,44953253.44049364,22979
sikkim,2019,3,737120,46382018.67211348,18083
sikkim,2019,3,737136,26387237.496077325,17566
sikkim,2019,3,737113,37733943.18239926,17217
sikkim,2019,3,737126,28436392.270060927,14129
sikkim,2019,3,737103,28161212.786410965,11489
sikkim,2019,4,737101,567811576.1273177,477056
sikkim,2019,4,737102,91018557.14116079,36686
sikkim,2019,4,737132,54437850.415528685,30341
sikkim,2019,4,737135,51758366.279735565,27684
sikkim,2019,4,737134,53701004.07841767,27482
sikkim,2019,4,737113,49605023.06090254,21140
sikkim,2019,4,737136,29141715.824643686,20329
sikkim,2019,4,737120,52411868.43038558,19877
sikkim,2019,4,737126,36781344.80839277,17731
sikkim,2019,4,737121,26432352.62999324,14876
sikkim,2019,1,737101,118108022.59828645,74498
sikkim,2019,1,737102,50167286.50498513,21109
sikkim,2019,1,737132,33157853.812782735,18576
sikkim,2019,1,737134,30929894.245465152,17417
sikkim,2019,1,737135,31811430.364247143,16362
sikkim,2019,1,737136,21078097.180940896,14393
sikkim,2019,1,737139,11367960.965816453,11200
sikkim,2019,1,737113,25036622.86210318,10400
sikkim,2019,1,737126,20006886.68322835,8854
sikkim,2019,1,737120,25342420.050538853,8824
haryana,2020,2,122001,2362256339.0022526,1787578
haryana,2020,2,124001,4695159344.118012,1535139
